LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID506245,506245,0,0.9042950868606567,689.5812000000001,676.5429,0.0,820.0,41,20.0,1,,49.337899543378995,50.0,2.0,110.0,32415.0,27.828552473610234,0.5875438475235867,1.3123044122065504
ID500354,500354,0,0.7674577236175537,757.6701,615.6975,0.0,400.0,20,20.0,1,,35.64383561643836,34.0,2.0,85.0,23418.0,24.25696585689754,0.7121987175430435,1.2224327337870387
ID503311,503311,0,0.4583026170730591,721.4526000000001,633.0819,0.0,600.0,30,20.0,1,,29.523592085235922,31.0,2.0,72.0,19397.0,20.06817208865055,0.35644813368375333,0.7731869728617841
ID495116,495116,0,0.6544009447097778,763.4649000000001,611.3514,0.0,60.0,3,20.0,1,,33.87975646879757,38.0,2.0,82.0,22259.0,22.45556251233713,0.6165555806634005,1.1508743975931646
ID496266,496266,0,0.7118192911148071,763.4649000000001,611.3514,0.0,40.0,2,20.0,1,,35.52054794520548,40.0,2.0,88.0,23337.0,23.725371460080652,0.6720715930950735,1.2035310579915433
ID503048,503048,0,0.4899355471134186,724.35,630.1845000000001,0.0,580.0,29,20.0,1,,31.123287671232877,35.0,1.0,68.0,20448.0,19.366216092982818,0.40185897924246883,0.9213826670540816
ID506519,506519,0,0.7792457342147827,692.4786,676.5429,0.0,800.0,40,20.0,1,,45.9634703196347,45.0,2.0,95.0,30198.0,22.28478109442247,0.5412979094658488,1.4487191303423625
ID507797,507797,0,0.9055149555206299,686.6838,679.4403000000001,0.0,940.0,47,20.0,1,,43.946727549467276,43.0,2.0,119.0,28873.0,32.31908217066215,0.6550279294890257,1.0763462676366569
ID508821,508821,0,0.8768846988677979,682.3377,685.2351000000001,0.0,1020.0,51,20.0,1,,46.045662100456624,50.0,1.0,114.0,30252.0,29.590153431282985,0.6763237622394431,1.2556489732373461
ID500627,500627,0,0.7256056070327759,753.3240000000001,617.1462,0.0,420.0,21,20.0,1,,37.23439878234399,39.0,3.0,85.0,24463.0,22.218904778457116,0.6471229013215893,1.3167776835870257
ID496543,496543,0,0.712475597858429,764.9136000000001,611.3514,0.0,140.0,7,20.0,1,,31.115677321156774,27.0,1.0,81.0,20443.0,24.638582935932845,0.6839317708126375,1.025845165869757
ID503839,503839,0,0.44154849648475647,712.7604,635.9793000000001,0.0,640.0,32,20.0,1,,37.21613394216134,41.0,2.0,101.0,24451.0,24.11428926209889,0.3946939017711994,0.8735108423428363
ID509855,509855,0,0.9797891974449158,667.8507000000001,705.5169000000001,0.0,1100.0,55,20.0,1,,50.78082191780822,53.0,1.0,124.0,33363.0,33.35119934116545,0.65552346611526,1.205788582767971
ID508062,508062,0,0.8196637630462646,686.6838,679.4403000000001,0.0,960.0,48,20.0,1,,41.64079147640791,43.0,1.0,112.0,27358.0,29.71842520951581,0.6323851163532649,1.0856308915611415
ID497948,497948,0,0.5988545417785645,767.811,617.1462,0.0,200.0,10,20.0,1,,27.93759512937595,27.0,2.0,69.0,18355.0,20.001846004757297,0.6802844524039713,1.1309845499992806
ID507548,507548,0,1.0392422676086426,685.2351000000001,677.9916000000001,0.0,900.0,45,20.0,1,,47.18569254185692,42.0,1.0,129.0,31001.0,35.42445899353432,0.6959271179013986,1.0931850354381545
ID509340,509340,0,0.9917640686035156,677.9916000000001,691.0299,0.0,1040.0,52,20.0,1,,51.22678843226788,54.0,2.0,118.0,33656.0,30.687925858244082,0.731731623202537,1.4106875240290564
ID509084,509084,0,1.0036896467208862,673.6455000000001,699.7221000000001,0.0,1080.0,54,20.0,1,,53.12785388127854,56.0,1.0,119.0,34905.0,32.966706696569496,0.67157770713203,1.2949303358712005
ID503579,503579,0,0.46171361207962036,720.0039,634.5306,0.0,620.0,31,20.0,1,,30.068493150684933,32.0,1.0,72.0,19755.0,19.873223106956523,0.36492567417832644,0.8090377158100672
ID508315,508315,0,0.8511326909065247,683.7864000000001,680.889,0.0,980.0,49,20.0,1,,44.147640791476405,48.0,2.0,114.0,29005.0,29.540863565370667,0.6579148770139253,1.1861013148945623
ID507290,507290,0,0.9806735515594482,685.2351000000001,676.5429,0.0,880.0,44,20.0,1,,46.30289193302892,44.0,3.0,122.0,30421.0,31.677844947635105,0.7083096773069696,1.2121016927610102
ID508570,508570,0,0.8722928166389465,685.2351000000001,680.889,0.0,1000.0,50,20.0,1,,46.39421613394216,51.0,1.0,115.0,30481.0,30.133162238568623,0.6910049936404845,1.258303553186428
ID498214,498214,0,0.5591399669647217,769.2597000000001,615.6975,0.0,220.0,11,20.0,1,,26.8675799086758,27.0,0.0,63.0,17652.0,18.23782083805012,0.6752850982493936,1.1876378784389385
ID500902,500902,0,0.6811136603355408,750.4266,618.5949,0.0,440.0,22,20.0,1,,34.823439878234396,35.0,1.0,77.0,22879.0,21.771384183068395,0.6152687549272888,1.2185285005334663
ID495396,495396,0,0.7171711325645447,763.4649000000001,611.3514,0.0,100.0,5,20.0,1,,34.89041095890411,37.0,2.0,77.0,22923.0,23.73822267645478,0.7020304544298437,1.212485369519523
ID504099,504099,0,0.39028507471084595,705.5169000000001,660.6072,0.0,680.0,34,20.0,1,,31.54642313546423,36.0,2.0,57.0,20726.0,17.746127802231182,0.28151126299127294,0.7809978940782862
