LABEL,TRACK_INDEX,TRACK_ID,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,CONFINEMENT_RATIO,,,velocity
Label,Track index,Track ID,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Confinement ratio,,,
Label,Index,ID,Total dist.,Max dist.,Cnfnmnt ratio,Mn. v. line,Fwd. progr.,Mn. ? rate,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Cfn. ratio,,,
,,,(µm),(µm),,(µm/sec),,(rad/sec),,,,,,,(sec),(sec),(sec),(µm),(µm),(µm),(µm),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(quality),,,,
Track_0,0,0,141.5740307,93.52814381,,0.077267858,0.64401693,0.034686223,60,0,0,0,0,0,1180,0,1180,91.17607265,233.071685,58.67235,0,0.119977992,0.298657156,0,0.102438559,0.066668579,0.834937531,0.64401693,,,0.0773
Track_1,1,1,140.8163694,71.56050114,,0.060644492,0.508183114,0.040158164,60,0,0,0,0,0,1180,0,1180,71.56050114,375.93765,51.887605,0,0.119335906,0.298657156,0,0.102438559,0.064410372,0.348036305,0.508183114,,,0.0606
Track_2,2,2,172.7724519,96.49908035,,0.078726874,0.537688214,0.036369914,60,0,0,0,0,0,1180,0,1180,92.897711,157.32882,43.581725,0,0.146417332,0.409754238,0,0.14487,0.087653536,1.495006788,0.537688214,,,0.0787
Track_3,3,3,148.3673821,80.51696834,,0.068234719,0.542686453,0.032776606,60,0,0,0,0,0,1180,0,1180,80.51696834,300.774265,50.31818,0,0.12573507,0.362175,0,0.102438559,0.075628024,0.99641107,0.542686453,,,0.0682
Track_4,4,4,142.4441777,83.133167,,0.070451836,0.58361927,0.025308784,60,0,0,0,0,0,1180,0,1180,83.133167,353.651815,93.77918,0,0.120715405,0.298657156,0,0.102438559,0.062468381,0.429466352,0.58361927,,,0.0705
Track_5,5,5,120.3143458,78.13584636,,0.066216819,0.649430838,0.028714201,60,0,0,0,0,0,1180,0,1180,78.13584636,192.82197,111.30845,0,0.10196131,0.229059582,0,0.102438559,0.057143868,0.771455692,0.649430838,,,0.0662
Track_6,6,6,126.2990269,71.34020149,,0.060457798,0.564851553,0.039669604,60,0,0,0,0,0,1180,0,1180,71.34020149,68.933975,84.5075,0,0.107033074,0.28974,0,0.102438559,0.061769754,1.58269067,0.564851553,,,0.0605
Track_7,7,7,200.4657973,141.4987644,,0.117225591,0.690023929,0.022683268,60,0,0,0,0,0,1180,0,1180,138.3261971,526.336855,50.632065,0,0.169886269,0.655926822,0,0.14487,0.134662159,0.582268631,0.690023929,,,0.1172
Track_9,9,9,128.6812648,70.33285572,,0.059604115,0.546566401,0.052778535,60,0,0,0,0,0,1180,0,1180,70.33285572,441.80521,55.702515,0,0.109051919,0.298657156,0,0.102438559,0.065393918,0.350293232,0.546566401,,,0.0596
Track_10,10,10,172.58728,63.7428,,0.054019322,0.369336605,0.032313943,60,0,0,0,0,0,1180,0,1180,63.7428,124.129445,113.72295,0,0.146260407,0.362175,0,0.14487,0.093890434,1.723300126,0.369336605,,,0.0540
Track_12,12,12,117.2395995,55.97683818,,0.047231018,0.475373526,0.036194663,60,0,0,0,0,0,1180,0,1180,55.73260178,408.654125,149.60242,0,0.099355593,0.229059582,0,0.102438559,0.052952362,0.957167936,0.475373526,,,0.0472
Track_14,14,14,142.3773156,62.31094307,,0.052805884,0.437646565,0.036928614,60,0,0,0,0,0,1180,0,1180,62.31094307,313.039925,147.62253,0,0.120658742,0.28974,0,0.102438559,0.055696034,1.623231769,0.437646565,,,0.0528
Track_15,15,15,167.9603444,78.40398663,,0.066444056,0.466800583,0.048520799,60,0,0,0,0,0,1180,0,1180,78.40398663,248.98324,123.115355,0,0.142339275,0.323939168,0,0.14487,0.077953008,1.0300969,0.466800583,,,0.0664
Track_17,17,17,124.9883347,66.70315722,,0.056528099,0.533675062,0.037361031,60,0,0,0,0,0,1180,0,1180,66.70315722,191.349125,179.759525,0,0.105922318,0.298657156,0,0.072435,0.061520197,2.134625999,0.533675062,,,0.0565
Track_18,18,18,170.5020148,130.8730275,,0.110371228,0.763850501,0.019245419,60,0,0,0,0,0,1180,0,1180,130.2380494,44.57167,148.419315,0,0.144493233,0.713402015,0,0.102438559,0.128744283,1.451503569,0.763850501,,,0.1104
Track_19,19,19,126.1273261,55.5251011,,0.04705517,0.440230542,0.042899895,60,0,0,0,0,0,1180,0,1180,55.5251011,250.72168,216.315055,0,0.106887565,0.261168107,0,0.102438559,0.062025532,1.79399565,0.440230542,,,0.0471
Track_20,20,20,131.9101377,68.82468615,,0.058326005,0.521754335,0.036251546,60,0,0,0,0,0,1180,0,1180,68.82468615,351.575345,209.313005,0,0.111788252,0.229059582,0,0.102438559,0.060511598,1.381460105,0.521754335,,,0.0583
Track_21,21,21,168.2269489,124.1663521,,0.105225722,0.738088356,0.033547234,60,0,0,0,0,0,1180,0,1180,124.1663521,111.83964,211.9931,0,0.142565211,0.323939168,0,0.14487,0.07333453,1.772094319,0.738088356,,,0.1052
Track_22,22,22,131.0583976,101.9044867,,0.095473426,0.772188834,0.026188502,54,0,0,0,0,0,1060,0,1060,101.2018312,32.78354444,216.5001667,0,0.123639998,0.43461,0,0.14487,0.080096789,2.016948139,0.772188834,,,0.0955
Track_23,23,23,152.5645613,62.31094307,,0.0478965,0.370452152,0.044822223,60,0,0,0,0,0,1180,0,1180,56.51787003,411.020335,214.84221,0,0.129292001,0.440604904,0,0.102438559,0.077284266,0.680416986,0.370452152,,,0.0479
Track_24,24,24,163.2946421,115.6240497,,0.097986483,0.708070076,0.027543409,60,0,0,0,0,0,1180,0,1180,115.6240497,398.92369,288.363735,0,0.13838529,0.390074413,0,0.14487,0.090558699,0.876091418,0.708070076,,,0.0980
Track_25,25,25,129.7783854,62.36144499,,0.052848682,0.480522583,0.053398719,60,0,0,0,0,0,1180,0,1180,62.36144499,487.48755,294.738015,0,0.109981683,0.204877119,0,0.102438559,0.049405239,1.463243469,0.480522583,,,0.0528
Track_26,26,26,169.3773168,119.295849,,0.101098177,0.704320102,0.028169149,60,0,0,0,0,0,1180,0,1180,119.295849,322.0943,260.983305,0,0.143540099,0.369347478,0,0.14487,0.076866032,1.098544128,0.704320102,,,0.1011
Track_27,27,27,122.3695276,67.53179964,,0.057230339,0.551867781,0.03446747,60,0,0,0,0,0,1180,0,1180,67.53179964,171.47779,253.160325,0,0.103702989,0.261168107,0,0.102438559,0.060205856,1.483447764,0.551867781,,,0.0572
Track_28,28,28,109.0222921,75.83221499,,0.064264589,0.695566141,0.039392233,60,0,0,0,0,0,1180,0,1180,75.83221499,260.33139,317.7482,0,0.092391773,0.229059582,0,0.072435,0.046605713,1.490530953,0.695566141,,,0.0643
Track_29,29,29,106.9500543,65.2558549,,0.060422088,0.610152611,0.037180948,55,0,0,0,0,0,1080,0,1080,65.2558549,576.02946,313.86744,0,0.099027828,0.261168107,0,0.102438559,0.059758006,0.21958288,0.610152611,,,0.0604
Track_30,30,30,140.7537488,80.46482004,,0.06262534,0.525015513,0.0222763,60,0,0,0,0,0,1180,0,1180,73.89790158,208.202335,299.615305,0,0.119282838,0.298657156,0,0.102438559,0.068588285,1.255407589,0.525015513,,,0.0626
Track_32,31,32,136.2237276,94.59911166,,0.079612168,0.689618177,0.018162451,60,0,0,0,0,0,1180,0,1180,93.94235869,28.466955,280.878785,0,0.115443837,0.52733476,0,0.072435,0.115370377,1.72513961,0.689618177,,,0.0796
Track_34,33,34,159.3116457,82.67750065,,0.070065679,0.518967087,0.047325317,60,0,0,0,0,0,1180,0,1180,82.67750065,309.15258,362.56132,0,0.135009869,0.307315678,0,0.102438559,0.074910427,1.75044136,0.518967087,,,0.0701
Track_36,35,36,160.230489,95.75676871,,0.081149804,0.597618901,0.030873812,60,0,0,0,0,0,1180,0,1180,95.75676871,366.66597,336.798605,0,0.13578855,0.261168107,0,0.14487,0.064269705,1.150353848,0.597618901,,,0.0811
Track_37,36,37,141.6422291,102.6125572,,0.083095327,0.692254604,0.033410912,60,0,0,0,0,0,1180,0,1180,98.05248529,222.42374,392.50112,0,0.120035787,0.298657156,0,0.102438559,0.062352331,1.913939939,0.692254604,,,0.0831
Track_38,37,38,129.1889006,59.09559655,,0.05094448,0.457435556,0.043215041,59,0,0,0,0,0,1160,0,1160,59.09559655,575.4531051,378.3316881,0,0.111369742,0.298657156,0,0.102438559,0.058273637,0.405537093,0.457435556,,,0.0509
Track_39,38,39,142.7597102,86.10934363,,0.07297402,0.603176789,0.033606243,60,0,0,0,0,0,1180,0,1180,86.10934363,423.334285,350.416385,0,0.120982805,0.261168107,0,0.102438559,0.061939923,1.593204468,0.603176789,,,0.0730
Track_40,39,40,173.416092,120.6689706,,0.102261839,0.695834909,0.034190099,60,0,0,0,0,0,1180,0,1180,120.6689706,152.572255,357.611595,0,0.14696279,0.261168107,0,0.14487,0.063896627,1.571103851,0.695834909,,,0.1023
Track_41,40,41,227.4960307,179.5043945,,0.169738008,0.775958716,0.02553966,53,0,0,0,0,0,1040,0,1040,176.527528,62.18476415,379.1493906,0,0.218746183,0.683350423,0,0.204877119,0.143360814,1.715569251,0.775958716,,,0.1697
Track_43,42,43,125.7576322,78.40398663,,0.066444056,0.623453108,0.040379393,60,0,0,0,0,0,1180,0,1180,78.40398663,475.728935,391.173145,0,0.106574265,0.229059582,0,0.102438559,0.051465728,0.598957222,0.623453108,,,0.0664
Track_44,43,44,156.2554723,73.82686638,,0.062565141,0.472475397,0.037456328,60,0,0,0,0,0,1180,0,1180,73.82686638,381.853175,417.249745,0,0.132419892,0.298657156,0,0.14487,0.065772141,1.811547447,0.472475397,,,0.0626
Track_45,44,45,151.744555,81.08838625,,0.068718971,0.534374273,0.022268742,60,0,0,0,0,0,1180,0,1180,81.08838625,537.491845,414.27991,0,0.12859708,0.307315678,0,0.102438559,0.080165752,0.449012338,0.534374273,,,0.0687
Track_46,45,46,155.0352216,90.56402953,,0.076749178,0.584151321,0.025235303,60,0,0,0,0,0,1180,0,1180,90.56402953,504.87195,460.10712,0,0.131385781,0.362175,0,0.102438559,0.073604657,0.65128661,0.584151321,,,0.0767
Track_47,46,47,138.4310203,89.5971468,,0.075929785,0.647233161,0.038064736,60,0,0,0,0,0,1180,0,1180,89.5971468,100.998535,443.954115,0,0.117314424,0.261168107,0,0.102438559,0.063262077,2.077024099,0.647233161,,,0.0759
Track_48,47,48,146.7486512,94.69889393,,0.0802533,0.645313556,0.038193145,60,0,0,0,0,0,1180,0,1180,94.69889393,177.683055,458.80329,0,0.124363264,0.323939168,0,0.102438559,0.077901218,1.711001813,0.645313556,,,0.0803
Track_49,48,49,188.2511935,119.8224666,,0.099717113,0.625048855,0.02521918,60,0,0,0,0,0,1180,0,1180,117.6661929,285.031725,443.68852,0,0.15953491,0.43461,0,0.161969584,0.085495964,1.514182078,0.625048855,,,0.0997
Track_52,51,52,180.7789613,127.8226357,,0.101722429,0.663973649,0.019808957,60,0,0,0,0,0,1180,0,1180,120.0324667,37.52133,448.51752,0,0.15320251,0.713402015,0,0.14487,0.116126487,1.646924384,0.663973649,,,0.1017
