LABEL,TRACK_INDEX,TRACK_ID,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,CONFINEMENT_RATIO,,,velocity
Label,Track index,Track ID,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Confinement ratio,,,
Label,Index,ID,Total dist.,Max dist.,Cnfnmnt ratio,Mn. v. line,Fwd. progr.,Mn. ? rate,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Cfn. ratio,,,
,,,(µm),(µm),,(µm/sec),,(rad/sec),,,,,,,(sec),(sec),(sec),(µm),(µm),(µm),(µm),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(quality),,,,
Track_0,0,0,152.9331877,26.11681066,,0.012817688,0.09889856,0.05933728,60,0,0,0,0,0,1180,0,1180,15.12487204,393.12889,194.005075,0,0.129604396,0.323939168,0,0.102438559,0.076158537,0.842230304,0.09889856,,,0.0128
Track_2,2,2,178.2299326,103.5997773,,0.087796421,0.581270361,0.050790094,60,0,0,0,0,0,1180,0,1180,103.5997773,312.24314,664.13237,0,0.151042316,0.623109431,0,0.14487,0.107380193,1.023853382,0.581270361,,,0.0878
Track_3,3,3,124.6170272,59.4673263,,0.050396039,0.477200649,0.054502121,60,0,0,0,0,0,1180,0,1180,59.4673263,374.87527,635.06179,0,0.10560765,0.369347478,0,0.102438559,0.070911616,0.631483025,0.477200649,,,0.0504
Track_4,4,4,122.1787154,29.54779828,,0.025040507,0.2418408,0.054272593,60,0,0,0,0,0,1180,0,1180,29.54779828,522.78754,657.61322,0,0.103541284,0.307315678,0,0.102438559,0.064118236,0.306493234,0.2418408,,,0.025
Track_5,5,5,122.4920738,96.84643474,,0.08207325,0.790634298,0.031699842,60,0,0,0,0,0,1180,0,1180,96.84643474,198.18216,673.35576,0,0.103806842,0.28974,0,0.102438559,0.065776315,0.760207274,0.790634298,,,0.0821
Track_6,6,6,130.4687117,73.76998897,,0.061361034,0.554968461,0.049115827,60,0,0,0,0,0,1180,0,1180,72.4060202,221.675245,165.803715,0,0.110566705,0.217305,0,0.102438559,0.059039316,1.709595933,0.554968461,,,0.0614
Track_9,8,9,135.6847998,79.3088827,,0.057545515,0.50045184,0.052843977,60,0,0,0,0,0,1180,0,1180,67.90370773,446.00644,622.60297,0,0.114987118,0.261168107,0,0.102438559,0.06746887,1.019912008,0.50045184,,,0.0575
Track_10,9,10,117.8649064,19.0546735,,0.006611431,0.066190086,0.056318918,60,0,0,0,0,0,1180,0,1180,7.801488256,442.070805,160.95057,0,0.099885514,0.229059582,0,0.102438559,0.060758855,0.337596822,0.066190086,,,0.0066
Track_11,10,11,135.5934946,29.8657156,,0.025309928,0.220259207,0.044841493,60,0,0,0,0,0,1180,0,1180,29.8657156,275.68761,622.89271,0,0.114909741,0.390074413,0,0.102438559,0.073991686,0.900773712,0.220259207,,,0.0253
Track_12,11,12,149.9518078,89.8310823,,0.076128036,0.599066351,0.04479365,60,0,0,0,0,0,1180,0,1180,89.8310823,283.679605,203.83209,0,0.127077803,0.323939168,0,0.102438559,0.073309515,0.741902881,0.599066351,,,0.0761
Track_16,15,16,117.5167905,72.10102909,,0.061102567,0.613538106,0.040409638,60,0,0,0,0,0,1180,0,1180,72.10102909,232.61293,296.93521,0,0.0995905,0.261168107,0,0.102438559,0.062709062,1.082336999,0.613538106,,,0.0611
Track_17,16,17,121.1177804,40.5894614,,0.03269035,0.31848844,0.065797861,60,0,0,0,0,0,1180,0,1180,38.574613,466.022645,719.521,0,0.102642187,0.390074413,0,0.102438559,0.064878817,1.197244691,0.31848844,,,0.0327
Track_18,17,18,107.6188026,15.60297651,,0.005490494,0.060201221,0.062844942,60,0,0,0,0,0,1180,0,1180,6.478783358,437.79714,250.81826,0,0.091202375,0.161969584,0,0.102438559,0.043028461,0.664547468,0.060201221,,,0.0055
Track_19,18,19,123.3387541,22.16084871,,0.01878038,0.17967466,0.046377312,60,0,0,0,0,0,1180,0,1180,22.16084871,282.906965,715.51293,0,0.104524368,0.298657156,0,0.102438559,0.06933759,1.289863349,0.17967466,,,0.0188
Track_20,19,20,171.602398,96.64034365,,0.081898596,0.563164296,0.051579446,60,0,0,0,0,0,1180,0,1180,96.64034365,265.425985,251.470175,0,0.145425761,0.298657156,0,0.14487,0.073787281,0.549576082,0.563164296,,,0.0819
Track_23,22,23,132.4223526,91.27959689,,0.077355591,0.689306564,0.041178785,60,0,0,0,0,0,1180,0,1180,91.27959689,135.50174,674.876895,0,0.112222333,0.28974,0,0.102438559,0.070140409,1.87149695,0.689306564,,,0.0774
Track_24,23,24,134.9391269,62.7639975,,0.052805884,0.461770759,0.058660212,60,0,0,0,0,0,1180,0,1180,62.31094307,134.560085,222.52032,0,0.114355192,0.307315678,0,0.102438559,0.069209372,0.512236736,0.461770759,,,0.0528
Track_25,24,25,101.1781745,28.12866593,,0.017578159,0.205006934,0.061320638,60,0,0,0,0,0,1180,0,1180,20.74222737,509.821675,750.23344,0,0.085744216,0.261168107,0,0.072435,0.048801538,0.718478801,0.205006934,,,0.0176
Track_26,25,26,131.9358402,86.10934363,,0.07297402,0.652660744,0.03949997,60,0,0,0,0,0,1180,0,1180,86.10934363,133.71501,745.21128,0,0.111810034,0.390074413,0,0.102438559,0.078674336,0.495859614,0.652660744,,,0.073
Track_29,26,29,139.8566648,55.92057062,,0.043544847,0.367397007,0.067151996,60,0,0,0,0,0,1180,0,1180,51.38291998,305.86886,763.682205,0,0.118522597,0.229059582,0,0.14487,0.065920284,1.376116236,0.367397007,,,0.0435
Track_31,27,31,113.2354912,73.86949569,,0.061164206,0.637377576,0.029236222,60,0,0,0,0,0,1180,0,1180,72.17376292,114.085125,314.70593,0,0.095962281,0.229059582,0,0.072435,0.061967771,0.687061672,0.637377576,,,0.0612
Track_36,30,36,68.73982716,15.60297651,,0.013222861,0.226985972,0.035947537,60,0,0,0,0,0,1180,0,1180,15.60297651,378.183135,264.025575,0,0.058254091,0.261168107,0,0.072435,0.055328626,1.408914561,0.226985972,,,0.0132
Track_37,31,37,127.6491782,90.74923224,,0.076906129,0.710926882,0.042133224,60,0,0,0,0,0,1180,0,1180,90.74923224,378.49702,731.134745,0,0.10817727,0.440604904,0,0.102438559,0.075137562,0.206498471,0.710926882,,,0.0769
Track_39,33,39,115.349896,38.49291588,,0.031920508,0.326538656,0.06232292,60,0,0,0,0,0,1180,0,1180,37.6662,302.319545,809.316255,0,0.097754149,0.217305,0,0.072435,0.040959176,0.83826649,0.326538656,,,0.0319
Track_40,34,40,115.5162428,21.7305,,0.013998069,0.142990466,0.053983706,60,0,0,0,0,0,1180,0,1180,16.51772138,149.481695,793.670295,0,0.097895121,0.261168107,0,0.072435,0.06033054,0.733040089,0.142990466,,,0.014
Track_41,35,41,147.0266237,68.83993141,,0.058338925,0.468214053,0.055337658,60,0,0,0,0,0,1180,0,1180,68.83993141,171.550225,359.494905,0,0.124598834,0.390074413,0,0.102438559,0.0858247,0.956362982,0.468214053,,,0.0583
Track_43,37,43,142.5571283,33.0989115,,0.022098814,0.182920351,0.06404403,60,0,0,0,0,0,1180,0,1180,26.0766,343.63164,790.338285,0,0.120811126,0.307315678,0,0.102438559,0.060061578,0.813923038,0.182920351,,,0.0221
Track_45,39,45,87.24456548,38.98053031,,0.033034348,0.446796085,0.041678126,60,0,0,0,0,0,1180,0,1180,38.98053031,518.53802,828.390805,0,0.073936072,0.298657156,0,0.072435,0.055889296,0.386340056,0.446796085,,,0.033
Track_46,40,46,140.7120942,35.63330847,,0.028634915,0.240130034,0.076961236,60,0,0,0,0,0,1180,0,1180,33.78920004,269.69965,832.736905,0,0.119247537,0.369347478,0,0.072435,0.085122678,1.39095929,0.240130034,,,0.0286
Track_47,41,47,134.5670921,83.28450177,,0.069796256,0.612033605,0.036069862,60,0,0,0,0,0,1180,0,1180,82.35958245,170.053235,277.57092,0,0.114039909,0.261168107,0,0.102438559,0.064338848,1.000855733,0.612033605,,,0.0698
Track_48,42,48,143.1295631,51.2192797,,0.028237373,0.23279677,0.047883276,60,0,0,0,0,0,1180,0,1180,33.3201,462.400895,792.72864,0,0.12129624,0.298657156,0,0.102438559,0.079323756,0.687992412,0.23279677,,,0.0282
Track_50,44,50,152.6263442,55.22189009,,0.037560761,0.290393494,0.054420081,60,0,0,0,0,0,1180,0,1180,44.32169742,316.130485,315.261265,0,0.129344359,0.323939168,0,0.102438559,0.069810684,0.365228364,0.290393494,,,0.0376
Track_51,45,51,114.9059752,37.13309468,,0.031468724,0.323160694,0.045665048,60,0,0,0,0,0,1180,0,1180,37.13309468,441.08086,312.9192,0,0.097377945,0.369347478,0,0.102438559,0.070132156,0.55098752,0.323160694,,,0.0315
Track_52,46,52,125.3253853,91.55508926,,0.077589059,0.73053906,0.024961889,60,0,0,0,0,0,1180,0,1180,91.55508926,155.78354,417.829225,0,0.106207954,0.362175,0,0.102438559,0.076773691,1.206427655,0.73053906,,,0.0776
Track_54,48,54,160.2343927,32.39391679,,0.027452472,0.202165816,0.06207599,60,0,0,0,0,0,1180,0,1180,32.39391679,150.206045,848.79333,0,0.135791858,0.655926822,0,0.102438559,0.109544168,1.373837658,0.202165816,,,0.0275
Track_58,50,58,130.9546088,50.03785473,,0.042404962,0.382100754,0.046285232,60,0,0,0,0,0,1180,0,1180,50.03785473,280.61319,438.980245,0,0.110978482,0.229059582,0,0.102438559,0.055869965,1.063395784,0.382100754,,,0.0424
Track_59,51,59,156.394205,49.89083868,,0.035688213,0.269268876,0.050221704,60,0,0,0,0,0,1180,0,1180,42.11209183,451.12518,455.08496,0,0.132537462,0.323939168,0,0.14487,0.072103482,0.611186815,0.269268876,,,0.0357
Track_60,52,60,118.1626186,23.1792,,0.019177472,0.191510798,0.062657174,60,0,0,0,0,0,1180,0,1180,22.62941741,353.313785,837.15544,0,0.100137812,0.229059582,0,0.102438559,0.054836711,1.318890125,0.191510798,,,0.0192
Track_61,53,61,115.297796,27.86630089,,0.020871102,0.213602522,0.044223785,60,0,0,0,0,0,1180,0,1180,24.6279,384.219385,391.318015,0,0.097709997,0.261168107,0,0.072435,0.059884448,0.476318902,0.213602522,,,0.0209
Track_63,55,63,162.9498659,43.461,,0.035412625,0.256440205,0.071491771,60,0,0,0,0,0,1180,0,1180,41.78689706,413.000225,841.50154,0,0.138093107,0.971817504,0,0.102438559,0.187725597,1.522606816,0.256440205,,,0.0354
Track_64,56,64,134.4427769,50.20534593,,0.033239038,0.291737981,0.046099941,60,0,0,0,0,0,1180,0,1180,39.22206431,338.633625,420.871495,0,0.113934557,0.323939168,0,0.102438559,0.067942857,0.650031685,0.291737981,,,0.0332
Track_65,57,65,154.351298,52.4741458,,0.033711814,0.257723397,0.051487366,60,0,0,0,0,0,1180,0,1180,39.77994085,219.62292,397.33012,0,0.130806185,0.261168107,0,0.102438559,0.062800516,0.452515059,0.257723397,,,0.0337
Track_68,59,68,106.2635367,38.98053031,,0.032225975,0.357852293,0.060691414,60,0,0,0,0,0,1180,0,1180,38.02665032,219.309035,32.716475,0,0.090053845,0.217305,0,0.102438559,0.046407743,0.549543182,0.357852293,,,0.0322
