LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID535304,535304,0,0.6155146956443787,401.28990000000005,181.0875,0.0,0.0,0,20.0,1,,26.264840182648403,22.0,0.0,77.0,17256.0,21.803792388310114,0.7687038543709762,1.0470722660768654
ID545289,545289,0,0.8682212829589844,409.9821,202.818,0.0,780.0,39,20.0,1,,41.00456621004566,36.0,0.0,100.0,26940.0,33.67140773163687,0.6329518414754163,0.944057038799859
ID545545,545545,0,0.8916317224502563,407.08470000000005,202.818,0.0,820.0,41,20.0,1,,39.35464231354642,28.0,0.0,110.0,25856.0,34.75959177021395,0.6803916042558561,0.9168530644028794
ID541066,541066,0,0.8813983201980591,382.45680000000004,185.4336,0.0,420.0,21,20.0,1,,40.6986301369863,45.0,0.0,112.0,26739.0,31.87476276255865,0.7112496216429073,1.061381490122033
ID550538,550538,0,0.4808846414089203,396.9438,195.5745,0.0,1180.0,59,20.0,1,,22.19330289193303,23.0,0.0,63.0,14581.0,16.088666786990515,0.7243026354828672,1.1588799588573964
ID535564,535564,0,0.8764325380325317,394.0464,182.5362,0.0,60.0,3,20.0,1,,36.75190258751903,29.0,0.0,109.0,24146.0,31.325653792881493,0.7780897003132855,1.0267995715687426
ID535823,535823,0,0.9051499366760254,392.59770000000003,182.5362,0.0,80.0,4,20.0,1,,37.050228310502284,30.0,0.0,110.0,24342.0,32.25648314646656,0.8007971276365002,1.0215546057244864
ID545024,545024,0,0.8486887812614441,408.53340000000003,204.26670000000001,0.0,760.0,38,20.0,1,,40.32115677321157,37.0,0.0,100.0,26491.0,32.746653988466115,0.6305246979662517,0.9522933882135763
ID549504,549504,0,0.7431682348251343,395.49510000000004,194.12580000000003,0.0,1100.0,55,20.0,1,,32.63470319634703,32.0,0.0,91.0,21441.0,25.72996286383395,0.7199710279206812,1.061852985751006
ID540545,540545,0,0.8041366338729858,382.45680000000004,189.77970000000002,0.0,440.0,22,20.0,1,,39.115677321156774,44.0,0.0,107.0,25699.0,30.758530655986014,0.6781463736941485,1.0278006078511366
ID544770,544770,0,0.8196059465408325,404.18730000000005,205.71540000000002,0.0,720.0,36,20.0,1,,38.06240487062405,36.0,0.0,106.0,25007.0,31.99462705941725,0.6145710018275287,0.90565770080759
ID540806,540806,0,0.9329637885093689,378.1107,189.77970000000002,0.0,460.0,23,20.0,1,,42.269406392694066,46.0,0.0,112.0,27771.0,32.46140567406343,0.784613480974083,1.1449866390150256
ID536088,536088,0,0.7486626505851746,399.8412,181.0875,0.0,20.0,1,20.0,1,,32.42465753424658,29.0,0.0,99.0,21303.0,27.12163547043911,0.7260196914138768,1.0057549364405913
ID536602,536602,0,0.8973066806793213,386.8029,185.4336,0.0,140.0,7,20.0,1,,40.307458143074584,40.0,0.0,106.0,26482.0,30.546044149672632,0.8003911002655024,1.1732642176659156
ID536860,536860,0,0.8825591206550598,389.7003,183.9849,0.0,120.0,6,20.0,1,,36.36834094368341,29.0,0.0,103.0,23894.0,31.994780002303106,0.7826515042843539,0.998105230538084
ID546588,546588,0,0.8092876076698303,404.18730000000005,201.3693,0.0,860.0,43,20.0,1,,38.81430745814308,40.0,0.0,108.0,25501.0,29.41200563498517,0.6850360306450118,1.0730041945792204
ID541333,541333,0,0.9745157957077026,385.35420000000005,192.67710000000002,0.0,500.0,25,20.0,1,,44.26027397260274,50.0,0.0,110.0,29079.0,30.631376716676826,0.8346006984957183,1.3146639872777686
ID545814,545814,0,0.8667776584625244,409.9821,202.818,0.0,800.0,40,20.0,1,,41.44596651445966,37.0,0.0,103.0,27230.0,34.26809500217579,0.6555058439069673,0.9577852727575709
ID537385,537385,0,0.8050033450126648,383.9055,186.88230000000001,0.0,180.0,9,20.0,1,,36.28310502283105,33.0,0.0,103.0,23838.0,29.47082430923992,0.7695357339947229,1.0708080129558928
ID537898,537898,0,0.9104377031326294,379.55940000000004,188.33100000000002,0.0,200.0,10,20.0,1,,39.13394216133942,36.0,0.0,111.0,25711.0,31.598187397115595,0.8248054179313085,1.1195831855667104
ID541610,541610,0,0.8675121665000916,383.9055,192.67710000000002,0.0,480.0,24,20.0,1,,41.77016742770167,48.0,0.0,97.0,27443.0,28.51326967721061,0.7716549334279126,1.2761249190371187
ID537645,537645,0,0.8932029008865356,376.66200000000003,189.77970000000002,0.0,220.0,11,20.0,1,,38.983257229832574,39.0,0.0,106.0,25612.0,29.154048787702635,0.8207102622377382,1.2054751631770837
ID546080,546080,0,0.8282161951065063,407.08470000000005,202.818,0.0,840.0,42,20.0,1,,37.29528158295282,31.0,0.0,105.0,24503.0,30.905459581939486,0.6678027080244062,0.9663894521676966
ID536353,536353,0,0.8733801245689392,391.149,183.9849,0.0,100.0,5,20.0,1,,36.4779299847793,30.0,0.0,99.0,23966.0,30.946204552356814,0.8037482910112237,1.050502085926497
ID546337,546337,0,0.8126108050346375,402.7386,201.3693,0.0,880.0,44,20.0,1,,37.98021308980213,39.0,0.0,107.0,24953.0,28.159463783322963,0.7575914053181285,1.162733354428099
ID546849,546849,0,0.787693202495575,399.8412,202.818,0.0,900.0,45,20.0,1,,36.99391171993912,40.0,0.0,101.0,24305.0,28.018503676003125,0.7041861918698193,1.0911533143254477
